"","Survived","Pclass","Sex","Age","SibSp","Parch","Embarked","HasCabin"
"1","0","3","male",22,1,0,"S","No"
"2","1","1","female",38,1,0,"C","Si"
"3","1","3","female",26,0,0,"S","No"
"4","1","1","female",35,1,0,"S","Si"
"5","0","3","male",35,0,0,"S","No"
"6","0","3","male",40.5,0,0,"Q","No"
"7","0","1","male",54,0,0,"S","Si"
"8","0","3","male",2,3,1,"S","No"
"9","1","3","female",27,0,2,"S","No"
"10","1","2","female",14,1,0,"C","No"
"11","1","3","female",4,1,1,"S","Si"
"12","1","1","female",58,0,0,"S","Si"
"13","0","3","male",20,0,0,"S","No"
"14","0","3","male",39,1,5,"S","No"
"15","0","3","female",14,0,0,"S","No"
"16","1","2","female",55,0,0,"S","No"
"17","0","3","male",2,4,1,"Q","No"
"18","1","2","male",32,0,0,"S","No"
"19","0","3","female",31,1,0,"S","No"
"20","1","3","female",14,0,0,"C","No"
"21","0","2","male",35,0,0,"S","No"
"22","1","2","male",34,0,0,"S","Si"
"23","1","3","female",15,0,0,"Q","No"
"24","1","1","male",28,0,0,"S","Si"
"25","0","3","female",8,3,1,"S","No"
"26","1","3","female",38,1,5,"S","No"
"27","0","3","male",30,0,0,"C","No"
"28","0","1","male",19,3,2,"S","Si"
"29","1","3","female",16,0,0,"Q","No"
"30","0","3","male",21,0,0,"S","No"
"31","0","1","male",40,0,0,"C","No"
"32","1","1","female",31,1,0,"C","Si"
"33","1","3","female",16,0,0,"Q","No"
"34","0","2","male",66,0,0,"S","No"
"35","0","1","male",28,1,0,"C","No"
"36","0","1","male",42,1,0,"S","No"
"37","1","3","male",22,0,0,"C","No"
"38","0","3","male",21,0,0,"S","No"
"39","0","3","female",18,2,0,"S","No"
"40","1","3","female",14,1,0,"C","No"
"41","0","3","female",40,1,0,"S","No"
"42","0","2","female",27,1,0,"S","No"
"43","0","3","male",30,0,0,"C","No"
"44","1","2","female",3,1,2,"C","No"
"45","1","3","female",19,0,0,"Q","No"
"46","0","3","male",21,0,0,"S","No"
"47","0","3","male",40.5,1,0,"Q","No"
"48","1","3","female",16,0,0,"Q","No"
"49","0","3","male",27,2,0,"C","No"
"50","0","3","female",18,1,0,"S","No"
"51","0","3","male",7,4,1,"S","No"
"52","0","3","male",21,0,0,"S","No"
"53","1","1","female",49,1,0,"C","Si"
"54","1","2","female",29,1,0,"S","No"
"55","0","1","male",65,0,1,"C","Si"
"56","1","1","male",36,0,0,"S","Si"
"57","1","2","female",21,0,0,"S","No"
"58","0","3","male",28.5,0,0,"C","No"
"59","1","2","female",5,1,2,"S","No"
"60","0","3","male",11,5,2,"S","No"
"61","0","3","male",22,0,0,"C","No"
"62","1","1","female",38,0,0,"S","Si"
"63","0","1","male",45,1,0,"S","Si"
"64","0","3","male",4,3,2,"S","No"
"65","0","1","male",40,0,0,"C","No"
"66","1","3","male",20,1,1,"C","No"
"67","1","2","female",29,0,0,"S","Si"
"68","0","3","male",19,0,0,"S","No"
"69","1","3","female",17,4,2,"S","No"
"70","0","3","male",26,2,0,"S","No"
"71","0","2","male",32,0,0,"S","No"
"72","0","3","female",16,5,2,"S","No"
"73","0","2","male",21,0,0,"S","No"
"74","0","3","male",26,1,0,"C","No"
"75","1","3","male",32,0,0,"S","No"
"76","0","3","male",25,0,0,"S","Si"
"77","0","3","male",21,0,0,"S","No"
"78","0","3","male",21,0,0,"S","No"
"79","1","2","male",0.83,0,2,"S","No"
"80","1","3","female",30,0,0,"S","No"
"81","0","3","male",22,0,0,"S","No"
"82","1","3","male",29,0,0,"S","No"
"83","1","3","female",16,0,0,"Q","No"
"84","0","1","male",28,0,0,"S","No"
"85","1","2","female",17,0,0,"S","No"
"86","1","3","female",33,3,0,"S","No"
"87","0","3","male",16,1,3,"S","No"
"88","0","3","male",21,0,0,"S","No"
"89","1","1","female",23,3,2,"S","Si"
"90","0","3","male",24,0,0,"S","No"
"91","0","3","male",29,0,0,"S","No"
"92","0","3","male",20,0,0,"S","No"
"93","0","1","male",46,1,0,"S","Si"
"94","0","3","male",26,1,2,"S","No"
"95","0","3","male",59,0,0,"S","No"
"96","0","3","male",21,0,0,"S","No"
"97","0","1","male",71,0,0,"C","Si"
"98","1","1","male",23,0,1,"C","Si"
"99","1","2","female",34,0,1,"S","No"
"100","0","2","male",34,1,0,"S","No"
"101","0","3","female",28,0,0,"S","No"
"102","0","3","male",21,0,0,"S","No"
"103","0","1","male",21,0,1,"S","Si"
"104","0","3","male",33,0,0,"S","No"
"105","0","3","male",37,2,0,"S","No"
"106","0","3","male",28,0,0,"S","No"
"107","1","3","female",21,0,0,"S","No"
"108","1","3","male",27,0,0,"S","No"
"109","0","3","male",38,0,0,"S","No"
"110","1","3","female",16,1,0,"Q","No"
"111","0","1","male",47,0,0,"S","Si"
"112","0","3","female",14.5,1,0,"C","No"
"113","0","3","male",22,0,0,"S","No"
"114","0","3","female",20,1,0,"S","No"
"115","0","3","female",17,0,0,"C","No"
"116","0","3","male",21,0,0,"S","No"
"117","0","3","male",70.5,0,0,"Q","No"
"118","0","2","male",29,1,0,"S","No"
"119","0","1","male",24,0,1,"C","Si"
"120","0","3","female",2,4,2,"S","No"
"121","0","2","male",21,2,0,"S","No"
"122","0","3","male",21,0,0,"S","No"
"123","0","2","male",32.5,1,0,"C","No"
"124","1","2","female",32.5,0,0,"S","Si"
"125","0","1","male",54,0,1,"S","Si"
"126","1","3","male",12,1,0,"C","No"
"127","0","3","male",40.5,0,0,"Q","No"
"128","1","3","male",24,0,0,"S","No"
"129","1","3","female",39,1,1,"C","Si"
"130","0","3","male",45,0,0,"S","No"
"131","0","3","male",33,0,0,"C","No"
"132","0","3","male",20,0,0,"S","No"
"133","0","3","female",47,1,0,"S","No"
"134","1","2","female",29,1,0,"S","No"
"135","0","2","male",25,0,0,"S","No"
"136","0","2","male",23,0,0,"C","No"
"137","1","1","female",19,0,2,"S","Si"
"138","0","1","male",37,1,0,"S","Si"
"139","0","3","male",16,0,0,"S","No"
"140","0","1","male",24,0,0,"C","Si"
"141","0","3","female",17,0,2,"C","No"
"142","1","3","female",22,0,0,"S","No"
"143","1","3","female",24,1,0,"S","No"
"144","0","3","male",19,0,0,"Q","No"
"145","0","2","male",18,0,0,"S","No"
"146","0","2","male",19,1,1,"S","No"
"147","1","3","male",27,0,0,"S","No"
"148","0","3","female",9,2,2,"S","No"
"149","0","2","male",36.5,0,2,"S","Si"
"150","0","2","male",42,0,0,"S","No"
"151","0","2","male",51,0,0,"S","No"
"152","1","1","female",22,1,0,"S","Si"
"153","0","3","male",55.5,0,0,"S","No"
"154","0","3","male",40.5,0,2,"S","No"
"155","0","3","male",21,0,0,"S","No"
"156","0","1","male",51,0,1,"C","No"
"157","1","3","female",16,0,0,"Q","No"
"158","0","3","male",30,0,0,"S","No"
"159","0","3","male",21,0,0,"S","No"
"160","0","3","male",9,8,2,"S","No"
"161","0","3","male",44,0,1,"S","No"
"162","1","2","female",40,0,0,"S","No"
"163","0","3","male",26,0,0,"S","No"
"164","0","3","male",17,0,0,"S","No"
"165","0","3","male",1,4,1,"S","No"
"166","1","3","male",9,0,2,"S","No"
"167","1","1","female",22,0,1,"S","Si"
"168","0","3","female",45,1,4,"S","No"
"169","0","1","male",60,0,0,"S","No"
"170","0","3","male",28,0,0,"S","No"
"171","0","1","male",61,0,0,"S","Si"
"172","0","3","male",4,4,1,"Q","No"
"173","1","3","female",1,1,1,"S","No"
"174","0","3","male",21,0,0,"S","No"
"175","0","1","male",56,0,0,"C","Si"
"176","0","3","male",18,1,1,"S","No"
"177","0","3","male",7,3,1,"S","No"
"178","0","1","female",50,0,0,"C","Si"
"179","0","2","male",30,0,0,"S","No"
"180","0","3","male",36,0,0,"S","No"
"181","0","3","female",9,8,2,"S","No"
"182","0","2","male",30,0,0,"C","No"
"183","0","3","male",9,4,2,"S","No"
"184","1","2","male",1,2,1,"S","Si"
"185","1","3","female",4,0,2,"S","No"
"186","0","1","male",54,0,0,"S","Si"
"187","1","3","female",16,1,0,"Q","No"
"188","1","1","male",45,0,0,"S","No"
"189","0","3","male",40,1,1,"Q","No"
"190","0","3","male",36,0,0,"S","No"
"191","1","2","female",32,0,0,"S","No"
"192","0","2","male",19,0,0,"S","No"
"193","1","3","female",19,1,0,"S","No"
"194","1","2","male",3,1,1,"S","Si"
"195","1","1","female",44,0,0,"C","Si"
"196","1","1","female",58,0,0,"C","Si"
"197","0","3","male",40.5,0,0,"Q","No"
"198","0","3","male",42,0,1,"S","No"
"199","1","3","female",16,0,0,"Q","No"
"200","0","2","female",24,0,0,"S","No"
"201","0","3","male",28,0,0,"S","No"
"202","0","3","male",9,8,2,"S","No"
"203","0","3","male",34,0,0,"S","No"
"204","0","3","male",45.5,0,0,"C","No"
"205","1","3","male",18,0,0,"S","No"
"206","0","3","female",2,0,1,"S","Si"
"207","0","3","male",32,1,0,"S","No"
"208","1","3","male",26,0,0,"C","No"
"209","1","3","female",16,0,0,"Q","No"
"210","1","1","male",40,0,0,"C","Si"
"211","0","3","male",24,0,0,"S","No"
"212","1","2","female",35,0,0,"S","No"
"213","0","3","male",22,0,0,"S","No"
"214","0","2","male",30,0,0,"S","No"
"215","0","3","male",40.5,1,0,"Q","No"
"216","1","1","female",31,1,0,"C","Si"
"217","1","3","female",27,0,0,"S","No"
"218","0","2","male",42,1,0,"S","No"
"219","1","1","female",32,0,0,"C","Si"
"220","0","2","male",30,0,0,"S","No"
"221","1","3","male",16,0,0,"S","No"
"222","0","2","male",27,0,0,"S","No"
"223","0","3","male",51,0,0,"S","No"
"224","0","3","male",21,0,0,"S","No"
"225","1","1","male",38,1,0,"S","Si"
"226","0","3","male",22,0,0,"S","No"
"227","1","2","male",19,0,0,"S","No"
"228","0","3","male",20.5,0,0,"S","No"
"229","0","2","male",18,0,0,"S","No"
"230","0","3","female",8,3,1,"S","No"
"231","1","1","female",35,1,0,"S","Si"
"232","0","3","male",29,0,0,"S","No"
"233","0","2","male",59,0,0,"S","No"
"234","1","3","female",5,4,2,"S","No"
"235","0","2","male",24,0,0,"S","No"
"236","0","3","female",25,0,0,"S","No"
"237","0","2","male",44,1,0,"S","No"
"238","1","2","female",8,0,2,"S","No"
"239","0","2","male",19,0,0,"S","No"
"240","0","2","male",33,0,0,"S","No"
"241","0","3","female",17,1,0,"C","No"
"242","1","3","female",16,1,0,"Q","No"
"243","0","2","male",29,0,0,"S","No"
"244","0","3","male",22,0,0,"S","No"
"245","0","3","male",30,0,0,"C","No"
"246","0","1","male",44,2,0,"Q","Si"
"247","0","3","female",25,0,0,"S","No"
"248","1","2","female",24,0,2,"S","No"
"249","1","1","male",37,1,1,"S","Si"
"250","0","2","male",54,1,0,"S","No"
"251","0","3","male",21,0,0,"S","No"
"252","0","3","female",29,1,1,"S","Si"
"253","0","1","male",62,0,0,"S","Si"
"254","0","3","male",30,1,0,"S","No"
"255","0","3","female",41,0,2,"S","No"
"256","1","3","female",29,0,2,"C","No"
"257","1","1","female",35,0,0,"C","No"
"258","1","1","female",30,0,0,"S","Si"
"259","1","1","female",35,0,0,"C","No"
"260","1","2","female",50,0,1,"S","No"
"261","0","3","male",40.5,0,0,"Q","No"
"262","1","3","male",3,4,2,"S","No"
"263","0","1","male",52,1,1,"S","Si"
"264","0","1","male",40,0,0,"S","Si"
"265","0","3","female",30.5,0,0,"Q","No"
"266","0","2","male",36,0,0,"S","No"
"267","0","3","male",16,4,1,"S","No"
"268","1","3","male",25,1,0,"S","No"
"269","1","1","female",58,0,1,"S","Si"
"270","1","1","female",35,0,0,"S","Si"
"271","0","1","male",60,0,0,"S","No"
"272","1","3","male",25,0,0,"S","No"
"273","1","2","female",41,0,1,"S","No"
"274","0","1","male",37,0,1,"C","Si"
"275","1","3","female",16,0,0,"Q","No"
"276","1","1","female",63,1,0,"S","Si"
"277","0","3","female",45,0,0,"S","No"
"278","0","2","male",32,0,0,"S","No"
"279","0","3","male",7,4,1,"Q","No"
"280","1","3","female",35,1,1,"S","No"
"281","0","3","male",65,0,0,"Q","No"
"282","0","3","male",28,0,0,"S","No"
"283","0","3","male",16,0,0,"S","No"
"284","1","3","male",19,0,0,"S","No"
"285","0","1","male",54,0,0,"S","Si"
"286","0","3","male",33,0,0,"C","No"
"287","1","3","male",30,0,0,"S","No"
"288","0","3","male",22,0,0,"S","No"
"289","1","2","male",42,0,0,"S","No"
"290","1","3","female",22,0,0,"Q","No"
"291","1","1","female",26,0,0,"S","No"
"292","1","1","female",19,1,0,"C","Si"
"293","0","2","male",36,0,0,"C","Si"
"294","0","3","female",24,0,0,"S","No"
"295","0","3","male",24,0,0,"S","No"
"296","0","1","male",40,0,0,"C","No"
"297","0","3","male",23.5,0,0,"C","No"
"298","0","1","female",2,1,2,"S","Si"
"299","1","1","male",36,0,0,"S","Si"
"300","1","1","female",50,0,1,"C","Si"
"301","1","3","female",16,0,0,"Q","No"
"302","1","3","male",20,2,0,"Q","No"
"303","0","3","male",19,0,0,"S","No"
"304","1","2","female",30,0,0,"Q","Si"
"305","0","3","male",21,0,0,"S","No"
"306","1","1","male",0.92,1,2,"S","Si"
"307","1","1","female",35,0,0,"C","No"
"308","1","1","female",17,1,0,"C","Si"
"309","0","2","male",30,1,0,"C","No"
"310","1","1","female",30,0,0,"C","Si"
"311","1","1","female",24,0,0,"C","Si"
"312","1","1","female",18,2,2,"C","Si"
"313","0","2","female",26,1,1,"S","No"
"314","0","3","male",28,0,0,"S","No"
"315","0","2","male",43,1,1,"S","No"
"316","1","3","female",26,0,0,"S","No"
"317","1","2","female",24,1,0,"S","No"
"318","0","2","male",54,0,0,"S","No"
"319","1","1","female",31,0,2,"S","Si"
"320","1","1","female",40,1,1,"C","Si"
"321","0","3","male",22,0,0,"S","No"
"322","0","3","male",27,0,0,"S","No"
"323","1","2","female",30,0,0,"Q","No"
"324","1","2","female",22,1,1,"S","No"
"325","0","3","male",9,8,2,"S","No"
"326","1","1","female",36,0,0,"C","Si"
"327","0","3","male",61,0,0,"S","No"
"328","1","2","female",36,0,0,"S","Si"
"329","1","3","female",31,1,1,"S","No"
"330","1","1","female",16,0,1,"C","Si"
"331","1","3","female",16,2,0,"Q","No"
"332","0","1","male",45.5,0,0,"S","Si"
"333","0","1","male",38,0,1,"S","Si"
"334","0","3","male",16,2,0,"S","No"
"335","1","1","female",35,1,0,"S","No"
"336","0","3","male",21,0,0,"S","No"
"337","0","1","male",29,1,0,"S","Si"
"338","1","1","female",41,0,0,"C","Si"
"339","1","3","male",45,0,0,"S","No"
"340","0","1","male",45,0,0,"S","Si"
"341","1","2","male",2,1,1,"S","Si"
"342","1","1","female",24,3,2,"S","Si"
"343","0","2","male",28,0,0,"S","No"
"344","0","2","male",25,0,0,"S","No"
"345","0","2","male",36,0,0,"S","No"
"346","1","2","female",24,0,0,"S","Si"
"347","1","2","female",40,0,0,"S","No"
"348","1","3","female",26,1,0,"S","No"
"349","1","3","male",3,1,1,"S","No"
"350","0","3","male",42,0,0,"S","No"
"351","0","3","male",23,0,0,"S","No"
"352","0","1","male",54,0,0,"S","Si"
"353","0","3","male",15,1,1,"C","No"
"354","0","3","male",25,1,0,"S","No"
"355","0","3","male",30,0,0,"C","No"
"356","0","3","male",28,0,0,"S","No"
"357","1","1","female",22,0,1,"S","Si"
"358","0","2","female",38,0,0,"S","No"
"359","1","3","female",16,0,0,"Q","No"
"360","1","3","female",16,0,0,"Q","No"
"361","0","3","male",40,1,4,"S","No"
"362","0","2","male",29,1,0,"C","No"
"363","0","3","female",45,0,1,"C","No"
"364","0","3","male",35,0,0,"S","No"
"365","0","3","male",40.5,1,0,"Q","No"
"366","0","3","male",30,0,0,"S","No"
"367","1","1","female",60,1,0,"C","Si"
"368","1","3","female",14,0,0,"C","No"
"369","1","3","female",16,0,0,"Q","No"
"370","1","1","female",24,0,0,"C","Si"
"371","1","1","male",25,1,0,"C","Si"
"372","0","3","male",18,1,0,"S","No"
"373","0","3","male",19,0,0,"S","No"
"374","0","1","male",22,0,0,"C","No"
"375","0","3","female",3,3,1,"S","No"
"376","1","1","female",35,1,0,"C","No"
"377","1","3","female",22,0,0,"S","No"
"378","0","1","male",27,0,2,"C","Si"
"379","0","3","male",20,0,0,"C","No"
"380","0","3","male",19,0,0,"S","No"
"381","1","1","female",42,0,0,"C","No"
"382","1","3","female",1,0,2,"C","No"
"383","0","3","male",32,0,0,"S","No"
"384","1","1","female",35,1,0,"S","No"
"385","0","3","male",21,0,0,"S","No"
"386","0","2","male",18,0,0,"S","No"
"387","0","3","male",1,5,2,"S","No"
"388","1","2","female",36,0,0,"S","No"
"389","0","3","male",40.5,0,0,"Q","No"
"390","1","2","female",17,0,0,"C","No"
"391","1","1","male",36,1,2,"S","Si"
"392","1","3","male",21,0,0,"S","No"
"393","0","3","male",28,2,0,"S","No"
"394","1","1","female",23,1,0,"C","Si"
"395","1","3","female",24,0,2,"S","Si"
"396","0","3","male",22,0,0,"S","No"
"397","0","3","female",31,0,0,"S","No"
"398","0","2","male",46,0,0,"S","No"
"399","0","2","male",23,0,0,"S","No"
"400","1","2","female",28,0,0,"S","No"
"401","1","3","male",39,0,0,"S","No"
"402","0","3","male",26,0,0,"S","No"
"403","0","3","female",21,1,0,"S","No"
"404","0","3","male",28,1,0,"S","No"
"405","0","3","female",20,0,0,"S","No"
"406","0","2","male",34,1,0,"S","No"
"407","0","3","male",51,0,0,"S","No"
"408","1","2","male",3,1,1,"S","No"
"409","0","3","male",21,0,0,"S","No"
"410","0","3","female",8,3,1,"S","No"
"411","0","3","male",21,0,0,"S","No"
"412","0","3","male",40.5,0,0,"Q","No"
"413","1","1","female",33,1,0,"Q","Si"
"414","0","2","male",32,0,0,"S","No"
"415","1","3","male",44,0,0,"S","No"
"416","0","3","female",25,0,0,"S","No"
"417","1","2","female",34,1,1,"S","No"
"418","1","2","female",18,0,2,"S","No"
"419","0","2","male",30,0,0,"S","No"
"420","0","3","female",10,0,2,"S","No"
"421","0","3","male",30,0,0,"C","No"
"422","0","3","male",21,0,0,"Q","No"
"423","0","3","male",29,0,0,"S","No"
"424","0","3","female",28,1,1,"S","No"
"425","0","3","male",18,1,1,"S","No"
"426","0","3","male",21,0,0,"S","No"
"427","1","2","female",28,1,0,"S","No"
"428","1","2","female",19,0,0,"S","No"
"429","0","3","male",40.5,0,0,"Q","No"
"430","1","3","male",32,0,0,"S","Si"
"431","1","1","male",28,0,0,"S","Si"
"432","1","3","female",26,1,0,"S","No"
"433","1","2","female",42,1,0,"S","No"
"434","0","3","male",17,0,0,"S","No"
"435","0","1","male",50,1,0,"S","Si"
"436","1","1","female",14,1,2,"S","Si"
"437","0","3","female",21,2,2,"S","No"
"438","1","2","female",24,2,3,"S","No"
"439","0","1","male",64,1,4,"S","Si"
"440","0","2","male",31,0,0,"S","No"
"441","1","2","female",45,1,1,"S","No"
"442","0","3","male",20,0,0,"S","No"
"443","0","3","male",25,1,0,"S","No"
"444","1","2","female",28,0,0,"S","No"
"445","1","3","male",27,0,0,"S","No"
